,maxtempC,mintempC,uvIndex,HeatIndexC,WindGustKmph,humidity,tempC,windspeedKmph,Brent_Prices,Henry_Hub_Price,WTI_Prices,elec_price
2019-02-16,13,4,3,8,26,61,13,14,66.41,2.69,56.12,
2019-02-17,13,5,2,8,21,68,13,11,66.41,2.69,56.12,
2019-02-18,15,4,3,8,22,66,15,12,66.41,2.69,56.12,
2019-02-19,10,5,2,7,31,72,10,18,65.86,2.69,56.12,
2019-02-20,10,3,2,6,26,76,10,16,66.82,2.69,56.9,
2019-02-21,11,5,2,8,26,79,11,17,66.91,2.73,56.95,
2019-02-22,8,0,2,5,24,80,8,17,66.91,2.74,57.01,
2019-02-23,6,-1,2,2,14,50,6,9,66.11569856008533,2.790531217190657,56.63504409594543,
2019-02-24,10,1,3,5,10,38,10,6,64.63188961275787,2.871744661758718,55.842377771345774,
2019-02-25,14,4,3,8,12,54,14,7,64.02,2.84,55.32,
2019-02-26,13,4,3,8,14,64,13,8,64.51,2.74,55.4,
2019-02-27,17,6,4,10,15,62,17,9,65.55,2.89,56.92,
2019-02-28,14,6,4,10,30,64,14,17,65.03,2.89,57.21,
2019-03-01,11,4,2,8,22,82,11,14,63.71,3.19,55.76,
2019-03-02,7,4,2,5,16,77,7,11,63.402610750982376,3.797771618519729,55.319317641991134,
2019-03-03,11,7,2,9,41,78,11,26,64.13949581704121,4.516445423031288,56.10676957885262,
2019-03-04,14,7,3,10,48,62,14,31,64.44,4.25,56.6,
2019-03-05,9,4,2,6,39,66,9,27,64.24,3.18,56.55,
2019-03-06,13,2,3,7,29,73,13,18,64.51,3.18,56.22,
2019-03-07,14,8,3,11,40,60,14,26,64.82,2.9,56.6,
2019-03-08,10,5,2,7,43,66,10,28,65.66,2.9,55.77,
2019-03-09,12,6,2,8,50,68,12,32,65.82895175035085,2.9198540535151882,55.650418010086305,
2019-03-10,10,4,2,6,44,77,10,28,65.27856930864802,2.895543958159192,56.41816461598577,
2019-03-11,5,3,1,4,41,76,5,26,65.06,2.86,56.79,
2019-03-12,8,1,2,4,31,75,8,20,65.33,2.83,56.89,
2019-03-13,8,3,2,6,48,65,8,32,65.89,2.87,58.27,
2019-03-14,8,5,2,7,46,73,8,31,66.18,2.95,58.59,
2019-03-15,10,4,2,7,39,79,10,26,66.11,2.95,58.51,
2019-03-16,10,5,2,7,34,79,10,21,66.151129847829,2.9258884337183093,58.64288990302016,
2019-03-17,12,5,2,8,38,78,12,24,66.36651859826529,2.896794599395629,58.98626336020026,
2019-03-18,8,2,2,5,38,71,8,24,66.65,2.9,59.09,
2019-03-19,8,1,2,4,22,73,8,14,67.13,2.92,59.12,
2019-03-20,12,2,3,6,16,68,12,10,68.35,2.86,60.12,
2019-03-21,16,5,4,10,13,71,16,7,68.3,2.86,59.98,
2019-03-22,18,8,4,12,11,78,18,7,66.29,2.75,58.87,
2019-03-23,17,8,4,12,20,77,17,12,65.6631428759454,2.686864541652285,58.12810974889477,
2019-03-24,10,6,2,8,12,81,10,8,66.67620226719255,2.6944877775062777,58.00318065909373,
2019-03-25,7,3,2,5,33,75,7,21,67.37,2.72,58.71,
2019-03-26,7,1,2,4,26,84,7,17,67.51,2.74,59.87,
2019-03-27,10,3,2,7,18,80,10,12,67.35,2.69,59.39,
2019-03-28,11,6,2,8,16,89,11,11,66.08,2.69,59.29,
2019-03-29,14,6,3,9,7,80,14,5,67.93,2.73,60.19,
2019-03-30,17,6,3,11,16,68,17,10,69.02432181956942,2.7415173331969154,60.78190321347388,
2019-03-31,12,5,2,9,19,74,12,12,68.848676631491,2.7230100397244974,60.972842720724785,
2019-04-01,11,2,3,6,26,59,11,17,69.08,2.73,61.59,
2019-04-02,16,2,4,9,25,62,16,14,69.68,2.76,62.53,
2019-04-03,15,10,3,12,15,79,15,9,69.21,2.74,62.46,
2019-04-04,19,7,3,11,18,80,19,11,69.8,2.66,62.12,
2019-04-05,14,6,3,9,13,84,14,8,69.93,2.62,63.1,
2019-04-06,19,8,4,13,19,74,19,11,70.28179709479157,2.635835339406417,63.97281723997688,
2019-04-07,18,9,4,13,19,72,18,12,70.91220197772769,2.6945830394645944,64.43314167115581,
2019-04-08,18,9,5,13,16,65,18,10,71.12,2.72,64.37,
2019-04-09,13,5,3,8,22,75,13,15,71.02,2.71,64.05,
2019-04-10,10,1,3,6,24,65,10,16,71.63,2.72,64.62,
2019-04-11,7,0,1,3,24,61,7,16,71.3,2.72,63.61,
2019-04-12,6,0,1,3,19,66,6,13,71.57,2.75,63.86,
2019-04-13,7,1,1,3,18,78,7,12,71.5957181238906,2.776735715328027,63.83124873476305,
2019-04-14,6,-1,1,3,20,88,6,12,71.24265097009004,2.7876615353540606,63.33777842815395,
2019-04-15,13,2,3,7,21,72,13,13,70.9,2.75,63.43,
2019-04-16,15,2,4,8,24,64,15,15,70.74,2.66,64.01,
2019-04-17,16,4,4,10,25,65,16,15,71.14,2.55,63.74,
2019-04-18,18,7,4,13,24,64,18,15,70.71,2.54,64.02,
2019-04-19,20,9,5,14,22,64,20,13,69.80583068689786,2.567361089815315,64.38392984981881,
2019-04-20,20,10,5,15,14,63,20,9,68.53127354633736,2.6179655077213466,64.70409232551285,
2019-04-21,20,10,5,15,14,60,20,9,68.3460796326082,2.6470871717667053,65.09220863845046,
2019-04-22,16,8,4,12,30,61,16,20,70.71,2.61,65.66,
2019-04-23,16,9,3,12,44,68,16,28,74.39,2.53,66.24,
2019-04-24,22,8,5,16,24,72,22,15,73.59,2.53,65.96,
2019-04-25,23,8,5,16,24,63,23,14,74.94,2.54,65.23,
2019-04-26,17,9,3,14,26,82,17,17,71.03,2.58,63.29,
2019-04-27,17,9,3,12,23,78,17,16,69.02795202966885,2.5952639484365854,62.41699943812906,
2019-04-28,13,7,3,10,15,77,13,11,69.97718661722382,2.5819915077497506,62.834673351532125,
2019-04-29,11,7,2,8,19,88,11,13,71.22,2.58,63.39,
2019-04-30,15,2,4,9,19,75,15,13,72.19,2.59,63.83,
2019-05-01,17,8,3,12,20,79,17,13,72.01,2.59,63.55,
2019-05-02,16,6,4,11,22,78,16,15,70.56,2.63,61.75,
