,maxtempC,mintempC,uvIndex,HeatIndexC,WindGustKmph,humidity,tempC,windspeedKmph,Brent_Prices,Henry_Hub_Price,WTI_Prices,elec_price
2021-08-04,20,14,4,17,19,77,20,12,70.99,4.2,68.19,
2021-08-05,22,13,4,19,11,69,22,7,72.14,4.27,69.1,
2021-08-06,24,15,5,19,17,70,24,11,71.02,4.21,68.26,
2021-08-07,25,14,6,21,19,71,25,12,69.86796910790159,4.207901347243295,67.11046681749556,
2021-08-08,21,15,5,18,31,73,21,23,69.1750355970928,4.269314404372497,66.10891888721136,
2021-08-09,23,13,5,18,23,62,23,15,69.65,4.24,66.56,
2021-08-10,24,14,5,20,19,68,24,13,71.14,4.12,68.33,
2021-08-11,24,15,6,19,16,69,24,11,71.99,4.07,69.3,
2021-08-12,27,16,6,22,8,57,27,6,71.79,4.1,69.12,
2021-08-13,30,20,7,25,9,54,30,6,70.9,3.95,68.36,
2021-08-14,27,20,5,23,17,58,27,12,70.41667150058466,3.8750205202829537,67.94883354884979,
2021-08-15,26,17,6,22,11,60,26,7,70.39126780940066,3.9070412460702397,67.90012247998747,
2021-08-16,23,16,5,21,30,60,23,20,70.07,3.93,67.44,
2021-08-17,19,13,4,16,32,65,19,22,69.4,3.92,66.5,
2021-08-18,20,11,4,16,32,68,20,22,68.61,3.86,65.36,
2021-08-19,21,14,4,17,27,71,21,18,66.8,3.83,63.69,
2021-08-20,22,17,4,20,12,64,22,8,65.51,3.94,62.25,
2021-08-21,27,15,6,21,11,59,27,7,65.625666020772,3.9872048716855777,62.29661465494898,
2021-08-22,24,16,5,20,20,73,24,12,67.10336956255837,3.950624189471709,63.82409759760381,
2021-08-23,21,14,4,17,21,82,21,14,69.07,3.93,65.65,
2021-08-24,19,10,4,14,20,74,19,13,71.21,3.95,67.5,
2021-08-25,22,13,5,18,19,62,22,12,72.12,4.03,68.54,
2021-08-26,18,13,4,16,28,68,18,21,70.42,4.07,67.42,
2021-08-27,13,6,3,12,21,90,13,14,72.26,4.35,68.84,
2021-08-28,19,10,4,14,11,80,19,7,72.26,4.438322845816421,69.94084142876417,
2021-08-29,15,12,3,13,12,92,15,8,72.26,4.303090743445133,70.08750809543082,
2021-08-30,19,12,4,15,15,83,19,10,72.26,4.25,69.28,
2021-08-31,21,12,4,16,24,76,21,16,72.26,4.33,69.28,
2021-09-01,22,11,4,17,18,71,22,11,72.26,4.33,69.28,
2021-09-02,23,12,5,18,10,66,23,6,72.26,4.33,69.28,
2021-09-03,25,14,6,20,15,64,25,9,72.26,4.33,69.28,
