,maxtempC,mintempC,uvIndex,HeatIndexC,WindGustKmph,humidity,tempC,windspeedKmph,Brent_Prices,Henry_Hub_Price,WTI_Prices,elec_price
2021-08-04 00:00:00,20,14,4,15,17,90,15,9,70.99,4.2,68.19,86.1
2021-08-04 01:00:00,20,14,4,15,18,90,15,9,71.09068479303845,4.206137403209866,68.26764912280127,80.23
2021-08-04 02:00:00,20,14,4,14,20,91,14,10,71.1867810533489,4.2119947423724975,68.34184324941693,77.02
2021-08-04 03:00:00,20,14,4,14,21,91,14,11,71.2782887809314,4.217572017487894,68.41258237984697,76.54
2021-08-04 04:00:00,20,14,4,14,19,89,14,11,71.3652079757859,4.222869228556058,68.47986651409138,77.51
2021-08-04 05:00:00,20,14,4,14,18,87,14,10,71.44753863791242,4.227886375576984,68.54369565215018,83.3
2021-08-04 06:00:00,20,14,4,15,16,85,15,10,71.52528076731096,4.232623458550677,68.60406979402336,96.18
2021-08-04 07:00:00,20,14,4,16,16,81,16,11,71.59843436398153,4.237080477477134,68.66098893971092,108.11
2021-08-04 08:00:00,20,14,4,17,15,77,17,11,71.6669994279241,4.241257432356358,68.71445308921287,123.01
2021-08-04 09:00:00,20,14,4,18,15,73,18,12,71.73097595913869,4.245154323188345,68.7644622425292,114.68
2021-08-04 10:00:00,20,14,4,18,15,70,18,12,71.79036395762532,4.248771149973099,68.81101639965992,110.77
2021-08-04 11:00:00,20,14,4,19,16,68,19,12,71.84516342338397,4.252107912710618,68.85411556060501,101.98
2021-08-04 12:00:00,20,14,4,20,16,65,20,13,71.8953743564146,4.255164611400902,68.89375972536448,98.44
2021-08-04 13:00:00,20,14,4,20,17,63,20,13,71.94099675671728,4.257941246043951,68.92994889393835,95.91
2021-08-04 14:00:00,20,14,4,20,18,61,20,13,71.98203062429198,4.260437816639766,68.96268306632658,90.83
2021-08-04 15:00:00,20,14,4,20,19,60,20,14,72.0184759591387,4.262654323188345,68.99196224252918,90.02
2021-08-04 16:00:00,20,14,4,19,21,63,19,14,72.05033276125744,4.26459076568969,69.0177864225462,88.91
2021-08-04 17:00:00,20,14,4,18,23,67,18,15,72.07760103064818,4.266247144143801,69.04015560637758,95.97
2021-08-04 18:00:00,20,14,4,18,25,70,18,15,72.10028076731096,4.267623458550676,69.05906979402334,107.46
2021-08-04 19:00:00,20,14,4,17,24,74,17,15,72.11837197124574,4.268719708910316,69.07452898548348,128.83
2021-08-04 20:00:00,20,14,4,16,24,78,16,14,72.13187464245256,4.269535895222724,69.08653318075804,123.92
2021-08-04 21:00:00,20,14,4,15,23,81,15,14,72.14078878093139,4.2700720174878946,69.09508237984694,110.09
2021-08-04 22:00:00,20,14,4,15,23,83,15,12,72.14511438668224,4.270328075705831,69.10017658275025,99.22
2021-08-04 23:00:00,20,14,4,15,22,85,15,11,72.14485145970511,4.270304069876533,69.10181578946793,90.03
2021-08-05 00:00:00,22,13,4,14,21,87,14,10,72.14,4.27,69.1,85.53
2021-08-05 01:00:00,22,13,4,14,20,87,14,10,72.1305600075669,4.269415866076232,69.09472921434643,80.99
2021-08-05 02:00:00,22,13,4,14,18,88,14,9,72.1165314824058,4.268551668105229,69.08600343250725,78.15
2021-08-05 03:00:00,22,13,4,13,17,88,13,9,72.09791442451677,4.267407406086992,69.07382265448246,78.02
2021-08-05 04:00:00,22,13,4,14,15,86,14,8,72.07470883389973,4.26598308002152,69.05818688027205,78.68
2021-08-05 05:00:00,22,13,4,14,13,83,14,8,72.04691471055472,4.264278689908814,69.03909610987601,82.89
2021-08-05 06:00:00,22,13,4,15,11,81,15,8,72.01453205448172,4.262294235748873,69.01655034329437,98.02
2021-08-05 07:00:00,22,13,4,16,11,76,16,8,71.97756086568073,4.260029717541696,68.9905495805271,124.94
2021-08-05 08:00:00,22,13,4,17,10,71,17,8,71.93600114415179,4.257485135287285,68.96109382157422,126.06
2021-08-05 09:00:00,22,13,4,18,10,66,18,8,71.88985288989484,4.25466048898564,68.92818306643572,115.28
2021-08-05 10:00:00,22,13,4,20,10,62,19,8,71.83911610290991,4.251555778636759,68.8918173151116,108.14
2021-08-05 11:00:00,22,13,4,21,10,58,20,8,71.78379078319702,4.248171004240643,68.85199656760186,101.0
2021-08-05 12:00:00,22,13,4,23,10,54,21,8,71.72387693075613,4.244506165797294,68.80872082390651,99.0
2021-08-05 13:00:00,22,13,4,23,8,53,22,7,71.6619647876103,4.240778741717871,68.76365729099024,88.79
2021-08-05 14:00:00,22,13,4,24,6,51,22,5,71.60064459578254,4.237206210413534,68.71847317581772,82.99
2021-08-05 15:00:00,22,13,4,25,4,50,22,4,71.53991635527291,4.233788571884286,68.673168478389,81.48
2021-08-05 16:00:00,22,13,4,24,5,53,22,4,71.47978006608135,4.230525826130127,68.62774319870402,84.96
2021-08-05 17:00:00,22,13,4,23,5,56,21,4,71.42023572820787,4.227417973151054,68.58219733676283,91.59
2021-08-05 18:00:00,22,13,4,22,6,59,21,4,71.36128334165248,4.224465012947069,68.5365308925654,107.36
2021-08-05 19:00:00,22,13,4,21,8,62,20,5,71.30292290641519,4.221666945518172,68.49074386611174,110.83
2021-08-05 20:00:00,22,13,4,20,9,64,20,6,71.24515442249597,4.219023770864361,68.44483625740185,111.48
2021-08-05 21:00:00,22,13,4,19,10,66,19,6,71.18797788989485,4.216535488985641,68.39880806643575,97.05
2021-08-05 22:00:00,22,13,4,18,11,73,18,6,71.1313933086118,4.214202099882006,68.35265929321338,83.0
2021-08-05 23:00:00,22,13,4,17,11,79,17,6,71.07540067864684,4.212023603553459,68.30638993773479,70.6
2021-08-06 00:00:00,24,15,5,16,11,86,16,6,71.02,4.21,68.26,64.61
2021-08-06 01:00:00,24,15,5,16,12,87,16,7,70.9651912726712,4.20813128922163,68.21348948000895,63.01
2021-08-06 02:00:00,24,15,5,15,13,88,15,7,70.91097449666051,4.206417471218345,68.16685837776168,62.42
2021-08-06 03:00:00,24,15,5,15,14,89,15,8,70.85734967196791,4.20485854599015,68.12010669325818,63.18
2021-08-06 04:00:00,24,15,5,15,15,87,15,8,70.8043167985934,4.203454513537042,68.07323442649846,63.31
2021-08-06 05:00:00,24,15,5,15,15,85,15,9,70.75187587653697,4.20220537385902,68.0262415774825,66.0
2021-08-06 06:00:00,24,15,5,16,15,83,16,10,70.70002690579865,4.201111126956088,67.97912814621031,80.64
2021-08-06 07:00:00,24,15,5,17,15,78,17,11,70.64876988637839,4.200171772828243,67.93189413268188,89.0
2021-08-06 08:00:00,24,15,5,18,15,73,18,12,70.59810481827624,4.199387311475486,67.88453953689724,94.15
