date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-08-04 00:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,13,15,15,15,17,62,90,2.7,1013,15,7,211,9,leipzig
2021-08-04 01:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,13,14,15,14,18,58,90,1.3,1013,15,8,216,9,leipzig
2021-08-04 02:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,13,14,14,14,20,54,91,0.4,1013,14,8,220,10,leipzig
2021-08-04 03:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,12,13,14,13,21,50,91,0.6,1013,14,9,225,11,leipzig
2021-08-04 04:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,12,14,14,14,19,53,89,0.3,1013,14,9,225,11,leipzig
2021-08-04 05:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,12,14,14,14,18,56,87,0.0,1013,14,10,226,10,leipzig
2021-08-04 06:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,12,15,15,15,16,59,85,0.0,1013,15,10,226,10,leipzig
2021-08-04 07:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,12,16,16,16,16,60,81,0.0,1013,16,10,229,11,leipzig
2021-08-04 08:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,13,17,17,17,15,62,77,0.0,1013,17,10,231,11,leipzig
2021-08-04 09:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,13,18,18,18,15,64,73,0.0,1013,18,10,234,12,leipzig
2021-08-04 10:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,13,18,18,18,15,61,70,0.0,1013,18,10,231,12,leipzig
2021-08-04 11:00:00,20,14,0.0,11.5,4,18,01:19 AM,06:28 PM,05:40 AM,08:53 PM,13,19,19,19,16,58,68,0.0,1013,19,10,228,12,leipzig
